clip,overall_status,identity_status,players_seen,unexpected_players,missing_expected_players,max_logical_per_frame,max_detected_logical_per_frame,predicted_frame_count,longest_predicted_run_frames,max_detection_gap_frames,raw_ids_by_player,raw_id_transitions,manual_review_required,review_flags,identity_reason
1.mp4,PASS_AUTO_REVIEW,PASS,"[""1"", ""2"", ""3"", ""4""]",[],[],4,4,45,"{""1"": 12, ""2"": 12, ""3"": 1, ""4"": 8}","{""1"": 80, ""2"": 14, ""3"": 1, ""4"": 0}","{""1"": [""3"", ""25""], ""2"": [""5"", ""10""], ""3"": [""2"", ""9""], ""4"": [""1""]}","{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 0}",True,"[""raw ID transitions present (3); inspect transition frames for visual P# continuity"", ""long predicted runs present; inspect overlap/lost-detection recovery"", ""detection gaps >= 12 frames: P1=80, P2=14""]",Doubles logical roster stayed within P1/P2/P3/P4
2.mp4,PASS_AUTO_REVIEW,PASS,"[""1"", ""2"", ""3"", ""4""]",[],[],4,4,7,"{""1"": 3, ""3"": 4}","{""1"": 3, ""2"": 0, ""3"": 4, ""4"": 0}","{""1"": [""5""], ""2"": [""3""], ""3"": [""4"", ""19""], ""4"": [""1""]}","{""1"": 0, ""2"": 0, ""3"": 1, ""4"": 0}",True,"[""raw ID transitions present (1); inspect transition frames for visual P# continuity""]",Doubles logical roster stayed within P1/P2/P3/P4
3.mp4,PASS_AUTO_REVIEW,PASS,"[""1"", ""2"", ""3"", ""4""]",[],[],4,4,56,"{""1"": 8, ""2"": 12, ""4"": 3}","{""1"": 8, ""2"": 23, ""3"": 0, ""4"": 3}","{""1"": [""2""], ""2"": [""5"", ""28""], ""3"": [""1""], ""4"": [""3""]}","{""1"": 0, ""2"": 1, ""3"": 0, ""4"": 0}",True,"[""raw ID transitions present (1); inspect transition frames for visual P# continuity"", ""long predicted runs present; inspect overlap/lost-detection recovery"", ""detection gaps >= 12 frames: P2=23""]",Doubles logical roster stayed within P1/P2/P3/P4
4.mp4,PASS_AUTO_REVIEW,PASS,"[""1"", ""2"", ""3"", ""4""]",[],[],4,4,72,"{""1"": 12, ""2"": 12, ""3"": 2}","{""1"": 12, ""2"": 18, ""3"": 2, ""4"": 0}","{""1"": [""2"", ""19"", ""45""], ""2"": [""5""], ""3"": [""1""], ""4"": [""3""]}","{""1"": 3, ""2"": 0, ""3"": 0, ""4"": 0}",True,"[""raw ID transitions present (3); inspect transition frames for visual P# continuity"", ""long predicted runs present; inspect overlap/lost-detection recovery"", ""detection gaps >= 12 frames: P1=12, P2=18""]",Doubles logical roster stayed within P1/P2/P3/P4
5.mp4,PASS_AUTO_REVIEW,PASS,"[""1"", ""2"", ""3"", ""4""]",[],[],4,4,24,"{""2"": 10, ""4"": 3}","{""1"": 0, ""2"": 10, ""3"": 0, ""4"": 3}","{""1"": [""3""], ""2"": [""5"", ""7""], ""3"": [""1""], ""4"": [""2"", ""25""]}","{""1"": 0, ""2"": 2, ""3"": 0, ""4"": 2}",True,"[""raw ID transitions present (4); inspect transition frames for visual P# continuity""]",Doubles logical roster stayed within P1/P2/P3/P4
6.mp4,PASS_AUTO_REVIEW,PASS,"[""1"", ""2"", ""3"", ""4""]",[],[],4,4,84,"{""1"": 12, ""2"": 6, ""3"": 4, ""4"": 4}","{""1"": 18, ""2"": 0, ""3"": 4, ""4"": 4}","{""1"": [""3"", ""14"", ""16""], ""2"": [""5""], ""3"": [""1"", ""19""], ""4"": [""2"", ""12""]}","{""1"": 2, ""2"": 0, ""3"": 1, ""4"": 1}",True,"[""raw ID transitions present (4); inspect transition frames for visual P# continuity"", ""long predicted runs present; inspect overlap/lost-detection recovery"", ""detection gaps >= 12 frames: P1=18""]",Doubles logical roster stayed within P1/P2/P3/P4
7.mp4,COURT_PROFILE_FAIL,NOT_RUN,,,,,,,,,,,,,camera profile mismatch; Identity skipped
8.mp4,PASS_AUTO_REVIEW,PASS,"[""1"", ""2"", ""3"", ""4""]",[],[],4,4,65,"{""1"": 3, ""2"": 12, ""3"": 12, ""4"": 12}","{""1"": 3, ""2"": 34, ""3"": 26, ""4"": 26}","{""1"": [""2"", ""12""], ""2"": [""10"", ""21"", ""27"", ""29"", ""39""], ""3"": [""3"", ""10""], ""4"": [""1"", ""9""]}","{""1"": 1, ""2"": 5, ""3"": 1, ""4"": 1}",True,"[""raw ID transitions present (8); inspect transition frames for visual P# continuity"", ""long predicted runs present; inspect overlap/lost-detection recovery"", ""detection gaps >= 12 frames: P2=34, P3=26, P4=26""]",Doubles logical roster stayed within P1/P2/P3/P4
9.mp4,PASS_AUTO_REVIEW,PASS,"[""1"", ""2"", ""3"", ""4""]",[],[],4,4,48,"{""1"": 3, ""2"": 12}","{""1"": 3, ""2"": 20, ""3"": 0, ""4"": 0}","{""1"": [""5""], ""2"": [""3"", ""44"", ""59""], ""3"": [""2""], ""4"": [""1""]}","{""1"": 0, ""2"": 2, ""3"": 0, ""4"": 0}",True,"[""raw ID transitions present (2); inspect transition frames for visual P# continuity"", ""long predicted runs present; inspect overlap/lost-detection recovery"", ""detection gaps >= 12 frames: P2=20""]",Doubles logical roster stayed within P1/P2/P3/P4
10.mp4,PASS_AUTO_REVIEW,PASS,"[""1"", ""2"", ""3"", ""4""]",[],[],4,4,64,"{""1"": 12, ""2"": 12, ""3"": 10}","{""1"": 17, ""2"": 12, ""3"": 0, ""4"": 0}","{""1"": [""4"", ""21""], ""2"": [""5"", ""15""], ""3"": [""1""], ""4"": [""2""]}","{""1"": 1, ""2"": 2, ""3"": 0, ""4"": 0}",True,"[""raw ID transitions present (3); inspect transition frames for visual P# continuity"", ""long predicted runs present; inspect overlap/lost-detection recovery"", ""detection gaps >= 12 frames: P1=17, P2=12""]",Doubles logical roster stayed within P1/P2/P3/P4
